"ROCK.NAME","SIO2.WT..","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM.","AVERAGE_LAT","AVERAGE_LON"
"ADAKITE",73.1,20.3,43,5.13,20.1,3.84,0.949,2.83,0.313,1.68,0.31,0.87,0.121,0.79,0.121,49.25,-85.5
"ADAKITE",67.179,22.98,46.87,5.275,18.61,3.066,0.974,2.521,0.269,1.128,0.196,0.572,0.081,0.513,0.08,29.345,89.6378
"ADAKITE",66.96,17.89,35.74,4.39,15.81,2.97,0.75,2.14,0.28,1.34,0.23,0.63,0.1,0.68,0.1,41.1,95.5
"ADAKITE",65.22,15.56,33.55,3.85,15.35,2.88,1,2.19,0.21,1.13,0.2,0.64,0.09,0.64,0.11,48.47,-81.4
"ANDESITE, AMPHIBOLE / ADAKITE",62.01,38.95,86.39,11.17,42.76,6.09,1.6,3.69,0.42,1.66,0.28,0.76,0.09,0.56,0.09,42.46,129
"ADAKITE",60.5,59.51,92.12,11.45,43.37,7.53,2.3,5.96,0.78,4.17,0.79,2.23,0.29,1.87,0.27,32.32,118.3
"ADAKITE",68.18,27.81,54.03,5.65,20.35,3.23,0.811,2.06,0.282,1.356,0.234,0.604,0.088,0.501,0.076,29.5883,90.0483
"ADAKITE",61.9604432444444,65.27,112.5,12.44,42.84,6.219,1.282,4.08,0.516,2.686,0.475,1.211,0.177,1.081,0.179,34.5,89
"ADAKITE",65.0877474800209,18.68,36.12,3.738,13.54,2.234,0.7752,1.978,0.247,1.402,0.2598,0.6909,0.1106,0.6861,0.0995,35.38,133.57
"ADAKITE",63.3,33,69.2,8.4,33.6,4.1,1.5,3.9,0.5,2.5,0.4,1,0.1,0.9,0.2,17.85,-99.675
"ADAKITE",62.349,73.87,128.9,13.6,46.62,6.446,1.556,3.775,0.513,2.564,0.462,1.24,0.174,1.051,0.174,34.5,89
"ADAKITE",66.160683924328,9.496,14.67,1.796,6.773,1.352,0.6991,1.174,0.1774,1.026,0.2046,0.5736,0.0903,0.5936,0.0966,35.38,133.57
