"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"FOIDITE [13036]",172,320,36,118,17.9,5,12.8,1.58,7.9,1.46,3.6,0.5,3.1,0.41,-1.52,29.25
"FOIDITE, ANALCIME-NEPHELINE [25213]",193.976561654261,375.767911059142,39.3710361774618,136.119285262008,19.9101624680591,5.37522039806895,13.6368562124865,1.61128305422506,7.63617709224369,1.34396722030885,3.09505339008629,0.355560337740251,33.8349894919083,0.295918003827575,66.5564059931784,34.4449140038341
"FOIDITE [15670]",33.0786870931894,71.6171574853151,9.71561438323543,41.2183640260359,8.95364462613113,3.02759983330687,8.24646620031226,1.16155389744404,6.17575488172726,1.06995753294174,2.5686980473091,0.330786870931894,1.96492201143039,0.269389307826639,-37.5427,-169.422
"FOIDITE, ANALCIME-NEPHELINE [25213]",90.5416228723404,163.609978794326,16.2367707446809,53.0604287943262,7.63617154255319,2.21185866223585,5.757953134999,0.732642328989115,3.48370000693758,0.685452659574468,1.84928313829787,0.25109335106383,17.6405718085106,0.230730196680851,66.5567179676145,34.444676041603
"FOIDITE [21705]",41,77,9,34,5.5,1.4,3.8,0.53,2.8,0.52,1.4,0.22,1.4,0.2,40,71
"FOIDITE [15670]",67.7332671852675,81.1689474519765,13.8894812668678,57.0322829020479,11.2855750912843,3.73152833941896,11.8869378802934,1.66677738529925,9.96578702968725,2.06291197015399,5.6929236386728,0.790485672328941,5.02351762184474,0.777406691538339,-36.0743,-169.5812
"FOIDITE [14499]",69.4,133,14.7,55,10.5,3.54,8.99,1.27,6.12,0.9,2.22,0.23,1.33,0.16,22.2249,-159.3864
"FOIDITE [27103]",94.7,176,19.8,78.2,14,4.55,13.3,1.77,8.22,1.45,3.42,0.46,2.83,0.39,-12.29747,43.76331
"FOIDITE [15670]",29.489391025641,65.7685737179487,8.86489663461539,36.9420913461539,8.02320352564103,2.71882944711538,7.40002921474359,1.04920360576923,5.55838862179487,0.948562019230769,2.28241458333333,0.290273637820513,1.73983389423077,0.236638301282051,-37.5427,-169.422
"FOIDITE [13036]",184,336,36,119,17.7,4.9,12.4,1.56,7.7,1.43,3.5,0.49,3,0.41,-1.52,29.25
"FOIDITE [16914]",20.88,50.73,7.1,30.92,6.98,2.63,6.41,0.88,4.5,0.78,1.85,0.24,1.42,0.2,28.4,-16.5
"FOIDITE [13036]",227,477,46,156,22,5.9,13.8,1.82,10.3,1.91,4.7,0.65,4,0.57,-1.52,29.25
"FOIDITE [22803]",223.7,479.6,54.29,193.5,31.41,8.197,25.48,2.904,12.39,2.105,4.625,0.563,3.523,0.419,22,74.08
"FOIDITE [14499]",47.8,94,10.5,40.3,8.18,2.77,7.32,1.07,5.55,0.81,2.02,0.23,1.31,0.18,22.2267,-159.3944
"FOIDITE [13036]",176,362,36,119,18.2,5.2,13.8,1.8,8.7,1.59,4,0.53,3.3,0.43,-1.52,29.25
"FOIDITE [13036]",132,335,26,95,15,4.3,10.9,1.38,6.8,1.23,3,0.42,2.5,0.34,-1.52,29.25
"FOIDITE [13036]",0.94,4.8,0.17,0.68,0.1,0.17,0.21,0.04,0.29,0.06,0.15,0.02,0.15,0.02,-1.52,29.25
"FOIDITE [13036]",241,484,49,164,22,5.8,13.9,1.94,10.9,2,4.9,0.69,4.1,0.58,-1.52,29.25
"FOIDITE [16601]",97.5,196,23.9,98,18.4,5.61,14,1.9,9.1,1.5,3.7,0.45,2.4,0.34,16.1,-22.85
"FOIDITE [13036]",182,373,37,125,18,4.8,11.9,1.49,7,1.29,3.2,0.43,2.6,0.37,-1.52,29.25
"FOIDITE, LEUCITE [10948]",212.2,452.2,53.4,209.1,30.65,6.61,15.91,2.02,9.04,1.4,3.26,0.42,2.55,0.39,35.33,91
"FOIDITE [25812]",61.5964079998895,121.328230713912,14.4570744564391,58.0963069512776,10.558855502497,3.20139961936562,9.18906070880832,1.16001909911308,5.7610716921126,0.974981123340233,2.30199090655668,0.289383696822897,1.52001287296297,0.21211123485604,-3.8474941,-32.4331502
"FOIDITE [15670]",39.5520888040105,78.2292193841012,10.0918476963476,41.3218906660301,8.81122702315588,3.03619332824063,8.04113219378395,1.10940725710193,5.8204607304846,0.99725352112676,2.36328204822153,0.299673191692528,1.80141967056577,0.244789448555741,-37.0253,-169.7798
"FOIDITE [14732]",67.9317096466093,144.149474689589,17.8242597898758,74.9866284622732,13.9579751671442,4.29130850047755,12.5814231136581,1.57067812798472,6.83190066857689,1.05109837631328,2.53414517669532,0.27316141356256,1.66093600764088,0.214899713467049,28,-15.75
"FOIDITE [25812]",64.5609566304527,126.949472719866,15.077302964533,60.3192962148813,11.0504643707652,3.33429324475662,9.18232354290602,1.19913332580973,6.02917486800835,0.990672464441837,2.36547470278672,0.286960770841569,1.60751693766518,0.21261291954234,-3.8487893,-32.4355541
"FOIDITE [13036]",199,365,39,129,19,5.3,13.3,1.66,8.3,1.51,3.7,0.52,3.2,0.43,-1.52,29.25
"FOIDITE [13036]",150,335,30,100,14,3.6,8.8,1.13,6.1,1.1,2.6,0.38,2.3,0.33,-1.52,29.25
"FOIDITE [28782]",162,329,38.1,144,25.2,4.67,15.1,2,8.7,1.4,3.3,0.41,2.4,0.38,42.53934028,11.99174697
"FOIDITE [15670]",36.3159153413847,74.9128303240464,9.57819761648531,38.7769939017099,8.29163378372992,2.88849387380924,7.64070851767707,1.05746343018853,5.4844035234565,0.925005380844195,2.170751325282,0.26971820319662,1.60290246721671,0.214894176730838,-37.0253,-169.7798
"NOT GIVEN [14036]",55,119,14,57,10.5,3.5,10.1,1.32,6.39,1.13,2.91,0.384,2.21,0.297,14.8111,-24.6994
"FOIDITE [13036]",114,215,24,91,14.8,4.1,11,1.33,6.3,1.12,2.6,0.34,2.1,0.27,-1.52,29.25
"FOIDITE [19674]",81.9,161,19,71.8,11.6,3.28,8.91,1.08,5.63,0.952,2.4,0.308,1.94,0.266,50.1944,6.6306
