"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO","NOT GIVEN [25259] / ANKARAMITE [1224]",53.3119436360735,100.756980035396,11.9894384593939,46.4067741251101,10.3945756023008,3.30751175792204,9.10169790681278,1.34785486967331,7.69320394309586,1.38895060069425,3.42125128628265,0.456857359706079,2.6010488512702,0.381489686276031,-15.95,-5.64
"CROZET ISLANDS / ILE DE L^EST","BASALT [20510] / ANKARAMITE [970]",29.71,63.17,8.03,33,7.16,2.32,6.48,0.96,5.25,0.95,2.25,0.3,1.69,0.24,-46.5,52.15
"SAMOAN ISLANDS / MANUA ISLANDS / OFU / ASAGA SERIES","ANKARAMITE [18653]",29.6,62.9,7.81,34,8.45,2.68,7.69,1.126,5.99,1.029,2.33,0.286,1.576,0.218,-14.1738,-169.6413
"SAMOAN ISLANDS / MANUA ISLANDS / OFU / ASAGA SERIES","ANKARAMITE [18653]",38.5,81.9,10.16,44.1,10.8,3.46,9.94,1.436,7.64,1.303,2.98,0.374,2.01,0.281,-14.1738,-169.6413
"SAMOAN ISLANDS / MANUA ISLANDS / OFU / ASAGA SERIES","ANKARAMITE [18653]",37.9,80.5,9.99,44.1,10.75,3.39,9.93,1.4,7.34,1.227,2.7,0.319,1.664,0.225,-14.1733,-169.6398
"SAMOAN ISLANDS / MANUA ISLANDS / OFU / ASAGA SERIES","ANKARAMITE [18653]",32.8,69.2,8.69,38,9.56,3.08,9.05,1.313,7.01,1.217,2.79,0.343,1.926,0.277,-14.187,-169.6738
"SAMOAN ISLANDS / MANUA ISLANDS / OFU / ASAGA SERIES","ANKARAMITE [18653]",34.6,72.8,9.02,39.7,9.7,3.18,9.13,1.301,6.87,1.174,2.63,0.316,1.748,0.241,-14.1755,-169.638
"SAMOAN ISLANDS / MANUA ISLANDS / OLOSEGA / ASAGA SERIES","ANKARAMITE [18653]",38.1,81,10.16,44.9,10.98,3.53,10.28,1.473,7.87,1.339,3.05,0.374,2.035,0.284,-14.1968,-169.6112
"URALS / NORTH URALS / MAIN URAL FAULT ZONE","ANKARAMITE [19759]",2.36,4.72,0.6,2.73,0.66,0.2,0.68,0.1,0.71,0.15,0.48,0.07,0.46,0.07,54.3,59.5
"TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA","BASANITE [9391] / ALKALI BASALT [15598] / BASALT [26028]",39.7,89.6,11.2,46.4,8.49,2.55,7.12,0.903,4.7,0.868,2.05,0.251,1.5,0.19,-37.15,-12.25
