"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / NYIRAGONGO","MELILITITE [23479]",195,364,38.2,128,18.9,5.3,12.9,1.7,8.4,1.4,4.2,0.6,3.1,0.5,-1.52,29.25
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT)","MELILITITE, LEUCITE-OLIVINE [24137]",97.7,218,26.8,106,19.8,3.96,14.5,1.8,9.3,1.6,4,0.52,3.1,0.44,42.95,13.63
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT)","MELILITITE, LEUCITE-OLIVINE [24137]",95.4,214,26.3,104,19.2,3.81,14.2,1.8,8.7,1.4,3.5,0.48,2.8,0.4,42.95,13.63
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","MELILITITE [23858]",52,104,11.9,46.1,8.61,2.56,7.06,0.86,4.28,0.67,1.67,0.19,1.26,0.16,50.6736,14.9454
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT)","MELILITITE, OLIVINE [24137]",79.7,179,22.1,87.2,16.4,3.16,11.7,1.5,7.2,1.1,2.9,0.36,2.1,0.31,42.95,13.63
"BATHYMETRISTS (GRIMALDI) SEAMOUNT CHAIN / CARTER / SITE 2303","MELILITITE, OLIVINE [13188]",103,182,20.6,72.6,12.1,3.35,10.1,1.25,5.92,1.1,2.49,0.26,2.01,0.29,9.1283,-21.2617
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MELILITITE [9728]",84,119,11.3,37.1,6.4,2.1,5.9,0.85,4.67,0.85,2.31,0.33,2.06,0.31,-2.7346,35.9502
"WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","MELILITITE [20208]",65.8,117,12.7,47.6,8.38,2.45,5.57,0.77,3.61,0.6,1.54,0.201,1.08,0.142,37.76,-90.21
"TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","MELILITITE [20273]",87,176,19,78,13,3.92,10.4,1.25,6.22,0.97,2.16,0.25,1.48,0.21,26.92,9.37
"CAPE VERDE ISLANDS / BOA VISTA","MELILITITE [16601]",95.7,194,22.9,81.2,15.1,4.58,13.1,1.6,7.6,1.3,3.1,0.38,2,0.28,16.1,-22.85
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / PELLO HILL","MELILITITE, OLIVINE [16783]",89.8,163,18.1,69.3,11.6,3.1,9.5,1.1,5.9,0.9,2.4,0.3,1.5,0.2,-2.7655,36.0186
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF / OSECNA COMPLEX","MELILITITE [11430]",115.3,202,22,82.65,13.57,3.8,10.3,1.3,6.6,1.1,2.7,0.34,2.02,0.27,50.7,14.92
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / LUCANIAN MAGMATIC PROVINCE / MONTE VULTURE","MELILITITE [10877]",218,437,48,189,35,7.6,26.8,3.6,16.5,2.7,5.9,0.76,4.3,0.58,40.95,15.62
"EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / NYIRAGONGO","MELILITITE [23479]",197,365,37.7,125,18.3,5.1,12.6,1.6,8.1,1.5,3.9,0.5,2.9,0.4,-1.52,29.25
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF / OSECNA COMPLEX","MELILITITE [11430]",118.7,208,22.7,81.57,13.37,3.6,10.3,1.3,6.4,1,2.5,0.31,1.76,0.23,50.7,14.92
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD","MELILITITE, OLIVINE [24417]",88,167,18.4,67.1,11.3,3.3,8.3,1.1,5.1,0.9,2.1,0.3,1.5,0.2,-19.2,48.8
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / CUPAELLO","MELILITITE, KALSILITE [21149]",265.8,505.5,59.5,207.2,35.7,7.04,28.1,3.29,13.4,1.93,4.35,0.57,2.6,0.37,42.4,12.85
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / LUCANIAN MAGMATIC PROVINCE / MONTE VULTURE","MELILITITE [10877]",217,445,48,190,35,7.6,27.3,3.6,16.3,2.64,5.9,0.72,4.2,0.56,40.95,15.62
